year,region,country,port,port_lat,port_long,UK_country,country_lat,country_long,import_tonnage_thousand,haversine,export_tonnage_thousand
2000,Africa,Mozambique,Newport,51.558370000000004,-2.98625,Wales,35.47261598,-17.23044898,33.02430775,2244.0672150107553,0.0
2000,Africa,Namibia,Aberdeen,57.144690000000004,-2.08749,Scotland,17.15616813,-22.09977693,1.153177213,4285.111555699321,0.0
2000,Africa,Namibia,Felixstowe,51.94831,1.31487,England,17.15616813,-22.09977693,0.6893871290000001,4285.111555699321,0.0
2000,Africa,Nigeria,Clyde,51.483768,0.42074,Scotland,7.995127753999999,9.548318418,110.77247150000001,4920.598059853739,0.0
2000,Africa,Nigeria,Felixstowe,51.94831,1.31487,England,7.995127753999999,9.548318418,17.492176043,4920.598059853739,106.0264186
2000,Africa,Nigeria,London,51.5166,0.1166,England,7.995127753999999,9.548318418,134.788428465,4920.598059853739,84.484085792
2000,Africa,Nigeria,Medway,51.380951,0.52213,England,7.995127753999999,9.548318418,2.124758012,4920.598059853739,12.546527987000001
2000,Africa,Nigeria,Milford Haven,51.71278,-5.0833,Wales,7.995127753999999,9.548318418,134.95806869999998,4920.598059853739,98.08717398
2000,Africa,Nigeria,Southampton,50.90834,-1.45426,England,7.995127753999999,9.548318418,6.320401287,4920.598059853739,8.991255973
2000,Africa,Nigeria,Tees & Hartlepool,54.691745999999995,-1.212926,England,7.995127753999999,9.548318418,16.899066461,4920.598059853739,19.967838755000002
2000,Africa,Reunion,Felixstowe,51.94831,1.31487,England,-21.1306889,-21.1306889,10.47025518,8336.02246341498,19.152708181999998
2000,Africa,Senegal,Cardiff,51.45939,-3.15709,Wales,-14.50980279,14.35413999,1.895572966,7476.106728736144,0.0
2000,Africa,Senegal,Felixstowe,51.94831,1.31487,England,-14.50980279,14.35413999,6.511668079,7476.106728736144,11.453233752
2000,Africa,Senegal,Hull,53.74154,-0.30295,England,-14.50980279,14.35413999,0.8662676640000001,7476.106728736144,0.0
