year,region,cargoGroup,cargoType,country,haversine,country_lat,country_long,import_tonnage_thousand,export_tonnage_thousand,tonnage_thousand
2000,Africa,Dry Bulk,Agricultural,Côte d'Ivoire,4915.198504792849,7.553755007010492,-5.6120436452252225,12.512187574946301,0.0,12.512187574946301
2000,Africa,Dry Bulk,Agricultural,Ghana,4848.617511146731,7.9286518130996475,-1.2369685557063992,7.03194658512905,0.0,7.03194658512905
2000,Africa,Dry Bulk,Agricultural,Mauritania,3593.370033500093,20.20926720635376,-10.32639692523499,133.156745883487,1.73859809346369,134.89534397695067
2000,Africa,Dry Bulk,Agricultural,Mozambique,8390.150818863947,-17.23044897565968,35.47261597864435,54.0558583131038,0.0,54.0558583131038
2000,Africa,Dry Bulk,Agricultural,Nigeria,4725.632179409044,9.548318418209963,7.995127754089785,0.0,20.64781205294133,20.64781205294133
2000,Africa,Dry Bulk,Agricultural,Senegal,4328.5388674627475,14.354139988452019,-14.50980278585943,8.83881242039709,0.0,8.83881242039709
2000,Africa,Dry Bulk,Agricultural,South Africa,9281.982909646877,-28.94703325997911,25.048013879861678,81.47592896030821,64.9956397714609,146.4715687317691
2000,Africa,Dry Bulk,Agricultural,Sudan,4759.377853686606,15.99058500311672,29.862604012257925,5.222493463721849,0.0,5.222493463721849
2000,Africa,Dry Bulk,Coal,Mozambique,8390.150818863947,-17.23044897565968,35.47261597864435,70.22630775108951,43.402116059648,113.6284238107375
2000,Africa,Dry Bulk,Coal,South Africa,9281.982909646877,-28.94703325997911,25.048013879861678,4118.172073576061,0.0,4118.172073576061
2000,Africa,Dry Bulk,Ores,Ghana,4848.617511146731,7.9286518130996475,-1.2369685557063992,35.1442868024801,0.0,35.1442868024801
2000,Africa,Dry Bulk,Ores,Mauritania,3593.370033500093,20.20926720635376,-10.32639692523499,279.647032821355,0.0,279.647032821355
2000,Africa,Dry Bulk,Ores,South Africa,9281.982909646877,-28.94703325997911,25.048013879861678,3113.082439288493,0.0,3113.082439288493
2000,Africa,Dry Bulk,Other Dry Bulk,Benin,4661.729153816261,9.647430780663699,2.3373775534961556,3.2845065368351603,0.0,3.2845065368351603
2000,Africa,Dry Bulk,Other Dry Bulk,Cameroon,5233.391730529434,5.663095287992697,12.61155154650177,2.73727247173847,0.0,2.73727247173847
2000,Africa,Dry Bulk,Other Dry Bulk,Côte d'Ivoire,4915.198504792849,7.553755007010492,-5.6120436452252225,44.572927382830855,66.2585013927576,110.83142877558845
2000,Africa,Dry Bulk,Other Dry Bulk,Ghana,4848.617511146731,7.9286518130996475,-1.2369685557063992,120.4481296057566,0.0,120.4481296057566
2000,Africa,Dry Bulk,Other Dry Bulk,Mauritania,3593.370033500093,20.20926720635376,-10.32639692523499,37.430357775870796,0.0,37.430357775870796
2000,Africa,Dry Bulk,Other Dry Bulk,Mozambique,8390.150818863947,-17.23044897565968,35.47261597864435,0.0,1.53826125592417,1.53826125592417
2000,Africa,Dry Bulk,Other Dry Bulk,Nigeria,4725.632179409044,9.548318418209963,7.995127754089785,0.0,1.48389615397077,1.48389615397077
2000,Africa,Dry Bulk,Other Dry Bulk,Senegal,4328.5388674627475,14.354139988452019,-14.50980278585943,10.15093759486366,0.0,10.15093759486366
2000,Africa,Dry Bulk,Other Dry Bulk,South Africa,9281.982909646877,-28.94703325997911,25.048013879861678,70.65636754563702,14.97304986943476,85.62941741507179
2000,Africa,Liquid Bulk,Crude oil,Angola,7292.053587599564,-12.24586903613319,17.47057255231345,141.98598247737,0.0,141.98598247737
2000,Africa,Liquid Bulk,Crude oil,Nigeria,4725.632179409044,9.548318418209963,7.995127754089785,245.73054016423,0.0,245.73054016423
2000,Africa,Liquid Bulk,Liquefied gas,Senegal,4328.5388674627475,14.354139988452019,-14.50980278585943,0.0,5.55371826018809,5.55371826018809
2000,Africa,Liquid Bulk,Liquefied gas,South Africa,9281.982909646877,-28.94703325997911,25.048013879861678,2.6295359696812497,0.0,2.6295359696812497
2000,Africa,Liquid Bulk,Oil,Côte d'Ivoire,4915.198504792849,7.553755007010492,-5.6120436452252225,0.0,4.4335336772272,4.4335336772272
2000,Africa,Liquid Bulk,Oil,Gabon,5906.971936855399,-0.6470481398040288,11.687751174902038,0.0,20.238792507809396,20.238792507809396
2000,Africa,Liquid Bulk,Oil,Ghana,4848.617511146731,7.9286518130996475,-1.2369685557063992,0.0,42.7276053246526,42.7276053246526
2000,Africa,Liquid Bulk,Oil,Guinea,4674.222415546493,10.44827287727134,-11.06085374118546,0.0,38.244574976044,38.244574976044
2000,Africa,Liquid Bulk,Oil,Kenya,6679.9665225246845,0.5959662521769523,37.79155528666139,0.0,1.78627880934077,1.78627880934077
2000,Africa,Liquid Bulk,Oil,Nigeria,4725.632179409044,9.548318418209963,7.995127754089785,24.23332369569956,214.1568599128401,238.39018360853967
2000,Africa,Liquid Bulk,Oil,Senegal,4328.5388674627475,14.354139988452019,-14.50980278585943,0.0,8.673970757462559,8.673970757462559
2000,Africa,Liquid Bulk,Oil,South Africa,9281.982909646877,-28.94703325997911,25.048013879861678,0.0,16.08781953264943,16.08781953264943
2000,Africa,Liquid Bulk,Oil,St Helena,7661.409071172389,-15.965528200000001,-15.965528200000001,0.0,6.55275766303772,6.55275766303772
2000,Africa,Liquid Bulk,Oil,Togo,4791.79163824443,8.439541954669616,0.9964039436703582,0.0,99.5028354657217,99.5028354657217
2000,Africa,Liquid Bulk,Other liquid,Cameroon,5233.391730529434,5.663095287992697,12.61155154650177,0.0,4.15236562698428,4.15236562698428
